256
0,inf,40,inf,inf,58,42,8,82,39,inf,44,inf,inf,inf,100,inf,99,inf,inf,inf,inf,96,3,inf,12,inf,32,inf,89,inf,inf,inf,inf,inf,inf,5,95,inf,inf,inf,5,59,14,inf,63,inf,inf,inf,inf,inf,inf,67,62,inf,inf,inf,inf,inf,9,72,inf,inf,51,inf,inf,inf,55,inf,inf,inf,99,inf,inf,inf,5,inf,inf,27,inf,inf,33,72,inf,inf,inf,68,inf,7,inf,inf,14,86,1,2,inf,18,9,inf,79,64,64,28,6,91,inf,inf,inf,inf,23,42,23,inf,inf,inf,inf,27,inf,27,inf,73,25,73,23,inf,52,92,9,27,58,inf,inf,97,21,inf,36,inf,1,inf,inf,100,79,73,54,inf,59,inf,71,inf,18,inf,66,27,inf,inf,inf,inf,inf,inf,28,64,5,73,inf,69,inf,inf,27,66,inf,45,6,inf,inf,85,inf,39,inf,inf,43,96,43,90,inf,inf,89,81,66,inf,55,88,inf,inf,99,inf,2,5,9,inf,83,26,inf,inf,80,4,93,31,inf,98,97,35,inf,inf,27,89,inf,inf,inf,inf,inf,inf,inf,inf,17,81,inf,30,inf,35,37,inf,100,inf,inf,inf,54,inf,inf,inf,inf,5,24,11,inf,inf,84,86,inf,inf,91,87,37,inf,inf,inf,inf
inf,0,inf,inf,inf,69,inf,inf,inf,64,84,inf,6,inf,inf,18,54,67,inf,7,23,87,inf,81,inf,60,34,49,43,70,62,75,63,37,42,inf,inf,inf,inf,inf,83,inf,89,68,inf,inf,inf,inf,inf,inf,50,46,inf,88,inf,inf,inf,91,inf,inf,inf,5,5,inf,inf,74,75,inf,inf,94,56,inf,63,inf,inf,10,inf,inf,19,inf,inf,inf,22,inf,inf,6,49,inf,100,inf,inf,2,35,80,inf,3,inf,54,3,inf,26,inf,inf,97,44,inf,inf,inf,inf,73,43,inf,66,81,98,inf,76,17,inf,3,inf,17,inf,inf,73,97,18,inf,4,38,56,inf,inf,inf,94,22,86,inf,41,92,9,27,inf,68,inf,inf,inf,inf,19,18,inf,inf,89,inf,inf,inf,inf,84,inf,4,85,56,inf,76,19,inf,1,73,inf,inf,inf,83,inf,inf,22,89,75,inf,53,70,inf,inf,74,40,inf,inf,52,3,inf,inf,64,inf,39,inf,72,inf,7,60,35,inf,inf,inf,86,inf,inf,inf,7,inf,inf,inf,inf,17,39,inf,inf,52,inf,inf,inf,68,inf,inf,inf,35,inf,11,35,inf,38,inf,17,63,2,86,inf,inf,57,50,inf,64,33,inf,91,inf,59,inf,inf,inf,74,91,inf,16,inf,inf,inf,inf
inf,61,0,36,inf,91,57,inf,inf,83,37,inf,46,63,96,7,24,inf,76,19,inf,100,inf,inf,inf,52,7,60,83,inf,inf,inf,13,12,58,inf,inf,96,7,inf,inf,inf,inf,48,inf,inf,30,31,38,inf,74,99,72,79,inf,inf,66,35,77,inf,67,88,inf,81,84,21,35,inf,inf,74,inf,inf,inf,inf,4,23,inf,inf,inf,38,10,inf,75,56,24,56,42,inf,inf,inf,31,30,42,65,52,inf,inf,inf,inf,inf,inf,39,inf,inf,inf,85,18,inf,81,inf,72,99,49,inf,19,65,88,84,84,72,inf,inf,inf,inf,6,14,76,78,inf,68,inf,inf,76,inf,inf,94,80,inf,27,inf,60,86,83,inf,inf,14,inf,inf,inf,74,22,inf,inf,35,inf,64,inf,83,inf,inf,inf,inf,52,inf,77,51,inf,15,88,inf,inf,inf,16,8,inf,inf,92,74,27,18,69,58,inf,66,25,47,inf,inf,inf,64,61,69,6,inf,75,10,33,32,inf,46,inf,inf,70,inf,inf,inf,inf,inf,18,16,inf,inf,inf,inf,60,97,10,inf,84,inf,inf,inf,inf,inf,76,96,inf,inf,31,inf,inf,inf,100,66,inf,51,inf,30,inf,80,inf,inf,49,36,inf,22,inf,13,inf,29,23,44,85,9,inf,19
inf,inf,inf,0,32,36,84,26,inf,inf,16,56,76,94,inf,82,inf,12,inf,inf,7,inf,inf,3,65,inf,inf,46,inf,inf,2,inf,18,inf,inf,55,inf,66,26,83,inf,44,13,35,70,inf,inf,inf,56,inf,84,inf,59,55,inf,inf,inf,inf,inf,8,43,65,45,inf,inf,inf,89,inf,34,66,29,87,60,inf,inf,25,5,inf,inf,75,99,inf,inf,71,77,64,63,inf,75,17,15,inf,inf,85,inf,inf,19,inf,inf,75,inf,17,inf,97,inf,inf,48,86,inf,inf,25,inf,inf,inf,inf,1,inf,inf,72,14,inf,inf,inf,inf,39,45,7,inf,inf,inf,inf,inf,51,45,inf,inf,inf,inf,1,34,inf,inf,inf,52,69,8,inf,26,69,inf,inf,54,9,95,33,86,inf,inf,59,inf,inf,inf,36,34,inf,inf,97,inf,inf,46,73,44,inf,inf,87,33,inf,90,100,inf,inf,inf,inf,inf,inf,41,29,88,53,inf,inf,inf,inf,26,61,60,83,99,92,inf,inf,inf,58,inf,45,inf,39,inf,inf,94,18,inf,54,23,27,98,inf,inf,inf,inf,inf,81,99,inf,23,inf,94,28,inf,79,84,inf,23,58,31,inf,95,inf,51,51,inf,inf,inf,inf,92,36,inf,51,92,inf,73,inf,57,inf,inf,inf
37,inf,97,66,0,27,56,inf,77,94,inf,inf,inf,inf,91,34,66,16,27,56,42,inf,45,37,65,67,58,inf,40,51,inf,18,inf,26,8,inf,69,inf,49,inf,12,inf,inf,inf,22,inf,6,54,57,inf,28,68,59,89,inf,inf,inf,33,inf,inf,8,inf,inf,inf,63,12,39,49,4,60,11,81,67,inf,inf,inf,inf,inf,inf,inf,inf,37,inf,1,35,inf,67,inf,2,inf,93,inf,inf,inf,86,inf,inf,inf,inf,inf,inf,inf,inf,69,inf,inf,39,85,58,2,inf,inf,47,73,inf,11,12,57,inf,inf,94,inf,inf,inf,32,44,inf,inf,81,inf,27,60,16,inf,inf,60,inf,inf,49,inf,51,71,inf,inf,71,60,83,41,39,inf,97,inf,73,77,68,14,inf,91,71,48,inf,29,inf,inf,4,62,inf,47,inf,inf,inf,90,inf,56,inf,36,100,inf,inf,inf,inf,inf,inf,15,inf,inf,inf,80,inf,21,inf,inf,16,inf,4,inf,99,inf,42,inf,64,42,53,inf,inf,inf,1,inf,12,41,inf,77,63,inf,inf,14,inf,inf,inf,3,inf,inf,61,inf,inf,32,72,inf,inf,33,85,78,inf,28,inf,51,60,30,inf,inf,63,inf,inf,inf,32,inf,96,25,75,inf,inf,50,inf,57,inf,99
inf,inf,44,52,76,0,inf,27,60,inf,inf,inf,58,inf,39,inf,40,inf,inf,inf,56,12,54,19,39,54,78,90,inf,inf,inf,inf,43,inf,inf,inf,81,inf,inf,inf,62,inf,85,53,80,inf,34,inf,inf,16,14,46,91,46,inf,inf,inf,43,32,80,59,83,inf,inf,inf,inf,inf,inf,inf,inf,inf,54,89,6,47,inf,8,50,4,inf,74,12,7,inf,inf,23,inf,inf,28,6,inf,54,10,inf,91,21,31,inf,92,inf,inf,inf,inf,90,23,2,inf,inf,inf,18,inf,61,inf,inf,inf,inf,50,48,inf,inf,4,76,inf,61,inf,7,69,71,35,inf,54,32,89,inf,59,46,inf,inf,59,83,inf,35,83,63,inf,43,53,inf,inf,26,38,43,94,33,inf,75,59,inf,44,90,54,inf,83,11,15,11,inf,inf,17,33,inf,inf,29,83,60,15,inf,46,35,inf,5,37,inf,inf,31,58,inf,inf,inf,60,inf,59,inf,60,inf,inf,100,67,73,inf,inf,96,inf,52,inf,inf,77,inf,inf,12,inf,50,inf,45,inf,58,inf,66,30,6,59,82,28,inf,46,inf,20,77,inf,inf,23,inf,inf,inf,70,26,87,91,inf,inf,inf,inf,inf,9,9,inf,10,inf,inf,15,95,inf,36,33,22,18
inf,inf,8,inf,inf,4,0,inf,6,inf,66,inf,inf,inf,inf,inf,inf,73,inf,27,30,60,70,inf,59,inf,37,52,inf,inf,inf,82,inf,93,13,29,inf,26,95,inf,inf,83,25,inf,88,inf,48,inf,inf,89,39,18,13,11,inf,20,inf,19,inf,27,inf,inf,55,86,inf,inf,inf,inf,inf,36,inf,61,inf,54,inf,75,69,72,37,inf,inf,inf,inf,60,inf,34,inf,50,inf,inf,34,76,45,18,inf,57,inf,inf,75,84,inf,inf,inf,84,52,inf,55,inf,inf,59,inf,inf,inf,23,inf,inf,80,50,inf,2,51,94,17,26,inf,99,inf,inf,inf,42,94,inf,61,25,29,inf,inf,inf,inf,88,inf,41,14,inf,inf,67,inf,inf,63,46,99,60,39,54,inf,inf,inf,inf,inf,62,inf,inf,69,52,98,69,inf,82,89,78,1,inf,inf,1,inf,29,inf,inf,inf,inf,96,26,86,63,inf,80,inf,34,4,inf,14,inf,inf,7,21,inf,inf,56,inf,14,42,inf,57,13,inf,inf,58,inf,inf,inf,inf,91,44,79,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,50,inf,20,inf,19,86,inf,35,48,inf,55,20,7,18,inf,inf,inf,inf,inf,89,36,21,inf,inf,93,inf,inf,18,85,76,85
65,inf,97,25,inf,inf,32,0,19,30,inf,inf,49,11,95,91,inf,93,inf,81,inf,58,10,inf,inf,39,77,inf,74,38,100,10,2,inf,inf,inf,inf,90,inf,inf,44,inf,85,5,43,6,inf,inf,85,68,31,inf,43,inf,43,12,96,23,inf,inf,8,47,84,inf,inf,inf,inf,49,inf,1,inf,inf,94,57,inf,inf,53,50,90,inf,inf,inf,15,80,12,96,inf,34,63,59,inf,99,inf,31,54,11,inf,53,inf,94,inf,40,inf,inf,inf,inf,45,88,29,99,inf,27,inf,93,inf,inf,63,inf,56,inf,inf,68,34,inf,85,4,65,inf,33,inf,inf,78,8,8,85,inf,8,inf,98,40,inf,43,inf,inf,14,27,inf,18,84,11,inf,37,46,inf,inf,25,77,inf,inf,inf,83,59,inf,inf,82,inf,inf,inf,inf,48,45,12,inf,77,15,22,60,inf,inf,42,inf,inf,33,inf,inf,inf,64,inf,56,78,97,inf,inf,inf,inf,51,56,inf,inf,inf,inf,77,27,inf,inf,77,4,inf,inf,inf,inf,6,inf,inf,inf,81,inf,9,inf,68,39,inf,inf,inf,inf,49,94,86,inf,24,65,11,41,95,35,26,38,inf,8,inf,99,44,inf,inf,79,97,52,inf,11,6,inf,inf,47,58,48,100
inf,inf,inf,inf,inf,45,87,inf,0,inf,inf,13,52,inf,inf,inf,52,100,8,69,39,inf,inf,53,inf,41,87,inf,inf,36,42,inf,inf,34,34,13,69,inf,inf,30,inf,89,97,12,21,inf,inf,47,33,8,75,52,61,5,inf,62,inf,20,inf,19,inf,54,16,87,69,inf,35,7,inf,inf,inf,inf,25,7,82,46,inf,16,inf,inf,inf,15,88,inf,inf,39,95,inf,45,inf,inf,inf,inf,inf,inf,inf,inf,100,inf,34,90,inf,15,93,13,46,93,inf,13,inf,88,inf,74,66,inf,inf,53,inf,40,inf,77,63,inf,inf,44,inf,92,inf,inf,inf,62,inf,45,61,inf,inf,inf,inf,48,inf,94,inf,94,inf,inf,26,inf,inf,56,inf,inf,inf,inf,inf,46,inf,inf,inf,53,inf,37,31,81,43,24,inf,inf,82,inf,15,inf,inf,50,inf,76,19,1,32,34,2,inf,inf,13,inf,inf,inf,inf,77,71,inf,inf,inf,98,inf,inf,82,inf,inf,92,2,33,62,28,inf,71,77,48,inf,inf,24,44,35,85,inf,inf,inf,inf,32,inf,82,25,inf,inf,inf,inf,inf,59,inf,91,35,inf,48,inf,50,inf,inf,inf,inf,inf,inf,inf,inf,inf,33,inf,52,81,74,71,78,inf,86,inf,inf,70,4
inf,84,inf,37,inf,inf,inf,inf,inf,0,15,49,81,51,96,inf,59,inf,42,98,9,25,inf,40,15,inf,inf,24,6,inf,94,inf,inf,inf,81,inf,inf,inf,44,67,47,inf,inf,inf,94,14,inf,inf,inf,inf,inf,42,12,inf,inf,inf,35,inf,inf,95,7,inf,inf,27,93,inf,8,78,inf,inf,7,inf,inf,67,inf,inf,inf,69,inf,80,88,inf,30,7,48,inf,59,92,78,inf,inf,47,inf,inf,inf,99,93,inf,inf,inf,inf,68,15,inf,80,inf,inf,52,23,inf,inf,78,79,inf,inf,inf,95,inf,inf,inf,57,35,inf,14,inf,inf,82,inf,inf,inf,49,50,inf,80,83,inf,inf,inf,inf,inf,70,inf,4,76,52,91,inf,2,inf,21,inf,16,inf,5,inf,49,9,inf,50,46,94,78,inf,inf,inf,33,75,11,inf,88,61,45,47,34,inf,61,inf,41,47,11,15,46,50,inf,inf,inf,inf,inf,inf,65,3,97,14,86,56,65,inf,inf,4,26,inf,inf,inf,inf,inf,inf,inf,27,93,91,inf,inf,inf,27,7,88,inf,inf,inf,1,34,94,80,inf,inf,inf,inf,inf,32,100,54,inf,inf,inf,80,98,inf,92,inf,48,inf,80,inf,inf,inf,inf,66,inf,inf,inf,inf,70,inf,26,inf,inf
